# Elastic line measurement
# Soleil March/2017
# Energy = 849.87 eV
# pixel 	 data 	 fit
2.252500e+02 -5.999461e+01 4.834266e+02
2.257500e+02 -7.918765e+01 4.834266e+02
2.262500e+02 2.461932e+01 4.834266e+02
2.267500e+02 -8.357372e+01 4.834266e+02
2.272500e+02 2.723324e+01 4.834266e+02
2.277500e+02 -3.959797e+00 4.834266e+02
2.282500e+02 -2.071528e+02 4.834266e+02
2.287500e+02 -1.013459e+02 4.834266e+02
2.292500e+02 -1.995389e+02 4.834266e+02
2.297500e+02 -1.327319e+02 4.834266e+02
2.302500e+02 -2.199250e+02 4.834266e+02
2.307500e+02 -2.511802e+01 4.834266e+02
2.312500e+02 -5.231106e+01 4.834266e+02
2.317500e+02 -1.075041e+02 4.834266e+02
2.322500e+02 4.230286e+01 4.834266e+02
2.327500e+02 -1.408902e+02 4.834266e+02
2.332500e+02 -2.410832e+02 4.834266e+02
2.337500e+02 -7.727625e+01 4.834266e+02
2.342500e+02 -6.746929e+01 4.834266e+02
2.347500e+02 -5.666232e+01 4.834266e+02
2.352500e+02 1.061446e+02 4.834266e+02
2.357500e+02 -3.304840e+01 4.834266e+02
2.362500e+02 -1.192414e+02 4.834266e+02
2.367500e+02 -1.064345e+02 4.834266e+02
2.372500e+02 1.937249e+01 4.834266e+02
2.377500e+02 3.017945e+01 4.834266e+02
2.382500e+02 -1.950136e+02 4.834266e+02
2.387500e+02 2.379338e+01 4.834266e+02
2.392500e+02 -6.839966e+01 4.834266e+02
2.397500e+02 -8.059270e+01 4.834266e+02
2.402500e+02 -1.878574e+01 4.834266e+02
2.407500e+02 -1.749788e+02 4.834266e+02
2.412500e+02 -1.811718e+02 4.834266e+02
2.417500e+02 -1.483648e+02 4.834266e+02
2.422500e+02 -2.255789e+01 4.834266e+02
2.427500e+02 7.324908e+01 4.834266e+02
2.432500e+02 9.056038e+00 4.834266e+02
2.437500e+02 -7.413700e+01 4.834266e+02
2.442500e+02 -1.023300e+02 4.834266e+02
2.447500e+02 -1.155231e+02 4.834266e+02
2.452500e+02 -2.347161e+02 4.834266e+02
2.457500e+02 3.909085e+01 4.834266e+02
2.462500e+02 -2.110219e+01 4.834266e+02
2.467500e+02 2.870477e+01 4.834266e+02
2.472500e+02 -1.064883e+02 4.834266e+02
2.477500e+02 1.113187e+02 4.834266e+02
2.482500e+02 -2.387434e+01 4.834266e+02
2.487500e+02 -1.067376e+00 4.834266e+02
